title,artist,emotion,url
Anbil Avan,Hariharan,romantic,https://open.spotify.com/embed/track/1QuZBM0iHDlr1oRVyeZypC
Enna Solla,Sid Sriram,romantic,https://open.spotify.com/embed/track/2109dBho14Lqh2wr8goqAP
Vinnaithaandi Varuvaayaa,Karthik,romantic,https://open.spotify.com/embed/track/3Ajj1eKaO0fg9YWeAE5vVU
Suttrum Vizhi,S. P. Balasubrahmanyam,romantic,https://open.spotify.com/embed/track/6wdyJnmcSeBXUyR6H5gGKd
Munbe Vaa,Sadhana Sargam & Shankar Mahadevan,romantic,https://open.spotify.com/embed/track/65dvxc4Kctq3JIJ2BkKKMj
Pudhu Metro Rail,Hiphop Tamizha,romantic,https://open.spotify.com/embed/track/1agEYXNhamNXNnsUZVRd9c
Yenga Pona,Hariharan,romantic,https://open.spotify.com/embed/track/5v5g63WRf632vG45fCErpW
Nenjukkul Peidhidum,Harini,romantic,https://open.spotify.com/embed/track/4vlMdXsRpAIXYggwbNHZSv
Poongatrile,S. P. Balasubrahmanyam,romantic,https://open.spotify.com/embed/track/22l0qyOhl50I7bslggljTD
Nuvvu Naaku Nachav,Udit Narayan,romantic,https://open.spotify.com/embed/track/6MvP4vh1rP89CnHRUJxR77
Priyatama,K. S. Chithra,romantic,https://open.spotify.com/embed/track/5TGSDzOrspu8145ZaulEYh


Happy,Pharrell Williams,happy,https://open.spotify.com/embed/track/60nZcImufyMA1MKQY3dcCH
Senorita,Farhan Akhtar,happy,https://open.spotify.com/embed/track/3TAhWtQnpoL5Vl9VQPl9fU
Vaathi Coming,Anirudh Ravichander,happy,https://open.spotify.com/embed/track/2BcPFQ7nrtUObgAs72xaac
Top Lesi Poddi,S. P. Balasubrahmanyam,happy,https://open.spotify.com/embed/track/4Q9bDMQ7Z0nMivKgIWAMfV
Ello Jogappa,Hemanth Kumar,happy,https://open.spotify.com/embed/track/22K7jy9U3UfzrgmmDUyIWO
Chanda Chanda,Sonu Nigam,happy,https://open.spotify.com/embed/track/6m9GjX7GJAitTJHWUWvlpD
Bombe Helutaite,Vasuki Vaibhav,happy,https://open.spotify.com/embed/track/1cOeBH7PmcnA9Ssu0iky3L
Uptown Funk,Mark Ronson ft. Bruno Mars,happy,https://open.spotify.com/embed/track/32OlwWuMpZ6b0aN2RZOeMS
Can't Stop the Feeling,Justin Timberlake,happy,https://open.spotify.com/embed/track/6JV2JOEocMgcZxYSZelKcc
Best Day of My Life,American Authors,happy,https://open.spotify.com/embed/track/5Hroj5K7vLpIG4FNCRIjbP
Walking on Sunshine,Katrina and The Waves,happy,https://open.spotify.com/embed/track/05wIrZSwuaVWhcv5FfqeH0
Shake It Off,Taylor Swift,happy,https://open.spotify.com/embed/track/0cqRj7pUJDkTCEsJkx8snD
Sugar,Maroon 5,happy,https://open.spotify.com/embed/track/5d6Mjuu2uCGRPYpFjGpCX5
Count on Me,Bruno Mars,happy,https://open.spotify.com/embed/track/7l1qvxWjxcKpB9PCtBuTbU
I'm Yours,Jason Mraz,happy,https://open.spotify.com/embed/track/3S0OXQeoh0w6AY8WQVckRW
On Top of the World,Imagine Dragons,happy,https://open.spotify.com/embed/track/213x4gsFDm04hSqIUkg88w
Firework,Katy Perry,happy,https://open.spotify.com/embed/track/3lXbHd0EoryoQh3vpevNEP
Stronger,Kelly Clarkson,happy,https://open.spotify.com/embed/track/1nInOsHbtotAmEOQhtvnzP
Happy Together,The Turtles,happy,https://open.spotify.com/embed/track/1JO1xLtVc8mWhIoE3YaCL0
Beautiful Day,U2,happy,https://open.spotify.com/embed/track/0gzqZ9d1jIKo9psEIthwXe
Gallan Goodiyan,Yashita Sharma,happy,https://open.spotify.com/embed/track/7hNYvX0qAKrxtVr1jGDmvR
Badtameez Dil,Benny Dayal,happy,https://open.spotify.com/embed/track/4eu27jAU2bbnyHUC3G75U8
Dil Dhadakne Do,Priyanka Chopra,happy,https://open.spotify.com/embed/track/5KeTlCr0vFeNZwpc4T0hVN
Desi Girl,Shankar Mahadevan,happy,https://open.spotify.com/embed/track/3Qpk2qHree1RTH5lZaKnEK
London Thumakda,Labh Janjua,happy,https://open.spotify.com/embed/track/2qJAzSE6uC94oH2NRoPrGl
Subha Hone Na De,Mika Singh,happy,https://open.spotify.com/embed/track/6WediUhXDfm8FR3wlM0r3G
Koi Kahe Kehta Rahe,Shaan,happy,https://open.spotify.com/embed/track/5zKRKQwLVBT1WDJE7XJrnm
Ainvayi Ainvayi,Salim Merchant,happy,https://open.spotify.com/embed/track/74AqVxZ3oXwJ8olHssBUG3
Kar Gayi Chull,Badshah,happy,https://open.spotify.com/embed/track/3BhjbaGeI7E0CiIjctfdD3
Why This Kolaveri Di,Dhanush,happy,https://open.spotify.com/embed/track/2VGs7EmaIxq96Wcog6DQOc
Aaluma Doluma,Anirudh Ravichander,happy,https://open.spotify.com/embed/track/1Do2hDE0etMakAEQbyOd4L
Don'u Don'u Don'u,Anirudh Ravichander,happy,https://open.spotify.com/embed/track/2kbxGCtWSV0f1ON720Bd4O
Jimikki Ponnu,Anirudh Ravichander,happy,https://open.spotify.com/embed/track/7fRIo7WyDxXn3r233GCcdL
Machi Open the Bottle,Deva,happy,https://open.spotify.com/embed/track/6YcBBZVKYYRirfeAt6BeGA
Vaadi Pulla Vaadi,Hiphop Tamizha,happy,https://open.spotify.com/embed/track/5dQR15IPbFDhTVwjfZgqR0
Selfie Pulla,Vijay,happy,https://open.spotify.com/embed/track/1VEKVUUoTpa6whq4mmboot
Oh Penne,Anirudh Ravichander,happy,https://open.spotify.com/embed/track/1zAkNzJZVPrWDCnowb1vpZ
Danga Maari Oodhari,Anirudh Ravichander,happy,https://open.spotify.com/embed/track/3PK26tdYPKM3ZxEGVFZx7l
Butta Bomma,Armaan Malik,happy,https://open.spotify.com/embed/track/1XnpHfrEv1ctykNFK9rCcy
Mind Block,Blaaze,happy,https://open.spotify.com/embed/track/15tCasit297c9SsbU3R95d
Dhinka Chika,Mika Singh,happy,https://open.spotify.com/embed/track/2Ggpu9s4UP2fO7bjgBMiss
Rama Loves Sita,Devi Sri Prasad,happy,https://open.spotify.com/embed/track/487HlT1IWVJt3EY8AFPl6I
Darlingey,Ranjith,happy,https://open.spotify.com/embed/track/4z9FuYv6vfL1pmrxqRCh7C
Bale Bale,Anup Rubens,happy,https://open.spotify.com/embed/track/34vnqCIfBYKh5jRBO0uK7a
Babu Bangaram,Mickey J Meyer,happy,https://open.spotify.com/embed/track/5Y4bGLaf3AG3lk1LEDNmio
Swing Zara,Neha Bhasin,happy,https://open.spotify.com/embed/track/1SJOGijQV7cRrfLstfZHzE
Crazy Feeling,Sid Sriram,happy,https://open.spotify.com/embed/track/2b8sOV1NLN0iu6WWE17dVn
Open Hairu,Vijay Prakash,happy,https://open.spotify.com/embed/track/1nwcniLKTjKuVhuBh43uxz
Tagaru Banthu Tagaru,Vijay Prakash,happy,https://open.spotify.com/embed/track/0mtxZjtOzm3mke47VLVoyb
Naguva Nayana,S. P. Balasubrahmanyam,happy,https://open.spotify.com/embed/track/24LASg8afs2Zj2tVU1kmfw
Belageddu,Vijay Prakash,happy,https://open.spotify.com/embed/track/33t67ioue8b1X553DUMulH
Thamnam Thamnam,Hemanth Kumar,happy,https://open.spotify.com/embed/track/5uMZi6LUq9OoPbF7VQAKbT
Hey Diwana,Sonu Nigam,happy,https://open.spotify.com/embed/track/4xTdHQqI4479l4N7Olm0oz
Life Ishtene,Sonu Nigam,happy,https://open.spotify.com/embed/track/6bYKuiqLToMhAxRU6qYXj3
Jimikki Kammal,Vijay Yesudas,happy,https://open.spotify.com/embed/track/14zJH1D1PjJClkEUTAPWjn
Entammede Jimikki Kammal,Vineeth Sreenivasan,happy,https://open.spotify.com/embed/track/14zJH1D1PjJClkEUTAPWjn
Manikyamalaraya Poovi,Vineeth Sreenivasan,happy,https://open.spotify.com/embed/track/1iIT8C60kizBxsWjEuNIMH
Kudukku,Vineeth Sreenivasan,happy,https://open.spotify.com/embed/track/3QRSs8nzHXXvcQjdnx0CsJ
Muthe Ponne,K. S. Chithra,happy,https://open.spotify.com/embed/track/2bwMvyxh6uGRK9n7Da7Cpd
Parayuvaan,Sithara Krishnakumar,happy,https://open.spotify.com/embed/track/4hTcGYU6uXZVCAfIMsxhlC
Aaro Nenjil,K. J. Yesudas,happy,https://open.spotify.com/embed/track/3pV7GR1Diat03TAXGTDaXB
Thallumaala Paattu,Vineeth Sreenivasan,happy,https://open.spotify.com/embed/track/3iH9MTX6mSGgSNlw9Q2T6t
Darshana,Hesham Abdul Wahab,happy,https://open.spotify.com/embed/track/4BBwON1XG02S4cpYrV10u2
Aalolam,K. J. Yesudas,happy,https://open.spotify.com/embed/track/0Q1OsOL69CNo0nI0gWyEbQ
Morni Banke,Guru Randhawa,happy,https://open.spotify.com/embed/track/5x3K3Ld54TtkYKdQvrFOV3
Lover,Diljit Dosanjh,happy,https://open.spotify.com/embed/track/0XwRlvv3KlOu4HWlOH34XG
Laembadgini,Diljit Dosanjh,happy,https://open.spotify.com/embed/track/3JbAc6kG0otlXHso9uDucj
High Rated Gabru,Guru Randhawa,happy,https://open.spotify.com/embed/track/1ozrNv9W4KlprAmvgH0Yrq
Proper Patola,Diljit Dosanjh,happy,https://open.spotify.com/embed/track/39ujbBjTwwqUFySaCYDMMT
Do You Know,Diljit Dosanjh,happy,https://open.spotify.com/embed/track/3kKfPlamJ5CO6j9tA4RdyS
Naah,Harrdy Sandhu,happy,https://open.spotify.com/embed/track/0zRsGGueSQLRkYWs4kPA4V
3 Peg,Sharry Mann,happy,https://open.spotify.com/embed/track/3G8o2zm7LaF6eeVuvLlrkJ
Soch,Harrdy Sandhu,happy,https://open.spotify.com/embed/track/5ACG6R1PbFnP7WHZNVDHAi
Suit Suit,Guru Randhawa,happy,https://open.spotify.com/embed/track/2mwBSO58y92EYmEFpDfmS7
Despacito,Luis Fonsi,happy,https://open.spotify.com/embed/track/6habFhsOp2NvshLv26DqMb
Vivir Mi Vida,Marc Anthony,happy,https://open.spotify.com/embed/track/3QHMxEOAGD51PDlbFPHLyJ
Bailando,Enrique Iglesias,happy,https://open.spotify.com/embed/track/6PSKhwo0mVcOdjUOhVJd5p
Danza Kuduro,Don Omar,happy,https://open.spotify.com/embed/track/6DXLO8LndZMVOHM0wNbpzg
La Bicicleta,Carlos Vives,happy,https://open.spotify.com/embed/track/0Gx4VrHzS7pZOEAGrmXXBH
Subeme La Radio,Enrique Iglesias,happy,https://open.spotify.com/embed/track/0mnAmQX1pciMncT2qFCNmK
La Gozadera,Gente de Zona,happy,https://open.spotify.com/embed/track/0OMRAvrtLWE2TvcXorRiB9
Me Gusta,Shakira,happy,https://open.spotify.com/embed/track/5Xhqh4lwJPtMUTsdBztN1a
Loca,Shakira,happy,https://open.spotify.com/embed/track/42k1KeBehAd83lrGt1okiC
Waka Waka,Shakira,happy,https://open.spotify.com/embed/track/6bNB5gxFX6Q87DbQWb8OWZ
Happy (2),Pharrell Williams,happy,https://open.spotify.com/embed/track/60nZcImufyMA1MKQY3dcCH


Channa Mereya,Arijit Singh,sad,https://open.spotify.com/embed/track/0H2iJVgorRR0ZFgRqGUjUM
Agar Tum Saath Ho,Alka Yagnik & Arijit Singh,sad,https://open.spotify.com/embed/track/6kYoY0PhBelP64UMnhsEZx
Say Something,A Great Big World,sad,https://open.spotify.com/embed/track/5TvE3pk05pyFIGdSY9j4DJ
Jar of Hearts,Christina Perri,sad,https://open.spotify.com/embed/track/0HZhYMZOcUzZKSFwPOti6m
Khairiyat,Arijit Singh,sad,https://open.spotify.com/embed/track/5O932cZmzOZGOGZz9RHx20
The Night We Met,Lord Huron,sad,https://open.spotify.com/embed/track/3hRV0jL3vUpRrcy398teAU
Back to December,Taylor Swift,sad,https://open.spotify.com/embed/track/79uDOz0zuuWS7HWxzMmTa2
Vaseegara,Hariharan,sad,https://open.spotify.com/embed/track/3YRj4jmwois2ctPnhwSwFo
Mungaru Male,Sonu Nigam,sad,https://open.spotify.com/embed/track/7zVuVHlwUGDSNwe9L8hFhO
Anisuthide,Sonu Nigam,sad,https://open.spotify.com/embed/track/2Rts79IsoUBDH2fam6LROy
Vennilave Vennilave (Instrumental),S. P. Balasubrahmanyam,sad,https://open.spotify.com/embed/track/0FeFoN93tz5Wh4fZhAnCt3
My Immortal,Evanescence,sad,https://open.spotify.com/embed/track/4UzVcXufOhGUwF56HT7b8M
When I Was Your Man,Bruno Mars,sad,https://open.spotify.com/embed/track/0nJW01T7XtvILxQgC5J7Wh
Too Good at Goodbyes,Sam Smith,sad,https://open.spotify.com/embed/track/1mXVgsBdtIVeCLJnSnmtdV
Hallelujah,Jeff Buckley,sad,https://open.spotify.com/embed/track/3pRaLNL3b8x5uBOcsgvdqM
Creep (acoustic),Radiohead / Various covers,sad,https://open.spotify.com/embed/track/6JpjIy1M7oxvPJ3uVdUKTe
Hurt,Johnny Cash,sad,https://open.spotify.com/embed/track/28cnXtME493VX9NOw9cIUh
I Will Always Love You,Whitney Houston,sad,https://open.spotify.com/embed/track/4eHbdreAnSOrDDsFfc4Fpm
All I Want,Kodaline,sad,https://open.spotify.com/embed/track/0NlGoUyOJSuSHmngoibVAs
Happier,Ed Sheeran,sad,https://open.spotify.com/embed/track/2RttW7RAu5nOAfq6YFvApB
Skinny Love (Birdy),Birdy,sad,https://open.spotify.com/embed/track/4RL77hMWUq35NYnPLXBpih
The Scientist,Coldplay,sad,https://open.spotify.com/embed/track/75JFxkI2RXiU7L9VXzMkle
Phir Bhi Tumko Chaahunga,Arijit Singh,sad,https://open.spotify.com/embed/track/3oNVqllTnz7bHrY3f0nICg
Tadap Tadap Ke,KK,Sad,https://open.spotify.com/embed/track/6n6hEYHXBzWfdSzBX20ZRw
Bhula Dena,Mustafa Zahid,sad,https://open.spotify.com/embed/track/0WNCYgCd33LnBnw22WFuq8
Hamdard,Arijit Singh,sad,https://open.spotify.com/embed/track/5ZGtdGwdocDZDniXHkmnVA
Kal Ho Naa Ho,Sonu Nigam,sad,https://open.spotify.com/embed/track/251PNRmJU9KcUnFQAB5t6I
Tujhse Naraz Nahi Zindagi,Lata Mangeshkar,sad,https://open.spotify.com/embed/track/4M6QtwT7kFCMqztO4E96kk
Ae Dil Hai Mushkil,Arijit Singh,sad,https://open.spotify.com/embed/track/1UWacd8x8tPPwmrPB1MoBI
Tum Se Hi,Mohit Chauhan,sad,https://open.spotify.com/embed/track/7eQl3Yqv35ioqUfveKHitE
Bolna,Arijit Singh,sad,https://open.spotify.com/embed/track/3GrCQPpKqKzOcKfMAoqn82
Kaise Hua,Vishal Mishra,sad,https://open.spotify.com/embed/track/1y1rQTkWmrZdJmjwuK07GC
Tujhe Kitna Chahne Lage,Arijit Singh,sad,https://open.spotify.com/embed/track/2Fv2injs4qAm8mJBGaxVKU
Chithi Na Koi Sandesh,Jagjit Singh,sad,https://open.spotify.com/embed/track/78iiDXq2EBsTwnnJJWCuLy
Ae Zindagi Gale Laga Le,Mukesh,sad,https://open.spotify.com/embed/track/4TkknEEgy9mpbDtSA9ZrKV
Kun Faya Kun (slow),A.R. Rahman,sad,https://open.spotify.com/embed/track/2TKEXEyZsQxpaDXxUegV4X
Aaj Phir Jeene Ki Tamanna Hai (soft),Lata Mangeshkar,sad,https://open.spotify.com/embed/track/6WNpBSZ91G86aXsrGQlQKu
Pani Da Rang (acoustic),Ayushmann Khurrana,sad,https://open.spotify.com/embed/track/20hnFTVSj6NsWMJJZV7AXf
Inkem Inkem Inkem Kaavaale,Sid Sriram,sad,https://open.spotify.com/embed/track/1S4gynyFIz8IROMfhDIh3V
Samajavaragamana,Sid Sriram,sad,https://open.spotify.com/embed/track/3j9DrRebdWK1jkpOw9FZUy
Priyathama,Yazin Nizar,sad,https://open.spotify.com/embed/track/4wHZiaLsuI9aQdWv4f3Esd
Nuvvostanante Nenoddantana,Various,sad,https://open.spotify.com/embed/track/7y3FOEOFShOO7m6WaYJ895
Yem Sandeham Ledu,S. P. Balasubrahmanyam,sad,https://open.spotify.com/embed/track/0hwdtn40BaV42IK5kB3Rd0
Hey Pillagada,Various,sad,https://open.spotify.com/embed/track/3tXa1LlnOQEOxkx8nWFUiB
Arerey Manasa,K.S. Chithra,sad,https://open.spotify.com/embed/track/61fXT6uwJ2THPkbmxa65OI
Anaganaga Oka Roju,Various,sad,https://open.spotify.com/embed/track/46IF4UqW7rBWJrZAn7o5xC
Em Sandeham Ledu,Various,sad,https://open.spotify.com/embed/track/6vsPBbLGfeLraBanG4HJaR
Kalusukovalani (slow),Devi Sri Prasad / Various,sad,https://open.spotify.com/embed/track/6ENVp9n70OhcQaOw8rsSIU
Vennilave Vennilave,S. P. Balasubrahmanyam,sad,https://open.spotify.com/embed/track/2pJxNV8GPlgQLSlQTLIzoo
Unakkenna Venum Sollu,A.R. Rahman / Various,sad,https://open.spotify.com/embed/track/00bHxCcteaAJhU5WiP1mtf
Munbe Vaa,SPB / Shreya Ghoshal,sad,https://open.spotify.com/embed/track/65dvxc4Kctq3JIJ2BkKKMj
Kanne Kalaimaane,Ilaiyaraaja,sad,https://open.spotify.com/embed/track/0ntm39V1096rAyvxv9gFct
Nenjukkule,Hariharan,sad,https://open.spotify.com/embed/track/7FEWG1bL31YAcnxJQvxJJO
Uyire Uyire,Karthik,sad,https://open.spotify.com/embed/track/2PKjUxmdIhPjKS1wwEVqHp
En Iniya Pon Nilavae,SPB,sad,https://open.spotify.com/embed/track/6cxxLBbTsXIrLo63Tc89jL
Maruvaarthai,Sid Sriram,sad,https://open.spotify.com/embed/track/7dbzO881X6TVJST6EKhnDg
Ennai Vittu,Ilaiyaraaja,sad,https://open.spotify.com/embed/track/4xgnL0rSKVN7FIiCGmWujl
Ninna Snehane,Various,sad,https://open.spotify.com/embed/track/38mByBdnM2ENVmDirPQdNl
Neene Neene,Sonu Nigam,sad,https://open.spotify.com/embed/track/4QKPPKw3gs3Z4RizFu4ZVJ
Nee Kallathoti,Various,sad,https://open.spotify.com/embed/track/2mdEd4hfIKY9l3HrN7MXHx
Nee Nanna Olavina,Various,sad,https://open.spotify.com/embed/track/0TOxxtNJ21c1pJH3aXEbWw
Pavizha Mazha,Vijay Yesudas,sad,https://open.spotify.com/embed/track/3yJ3zrf4cnO11AKcvjV01q
Uyire,K. J. Yesudas,sad,https://open.spotify.com/embed/track/0ZAI04mKAI27JyMy8Ic4YC
Akale Akale,K.S. Chithra,sad,https://open.spotify.com/embed/track/5GWeawCzMEXR3LF3txUeHY
Ente Kannil Ninakkai,Yesudas,sad,https://open.spotify.com/embed/track/3sv34YWhVo15mL7kV6Kaq6
Njanum Ente,Yesudas/Chithra,sad,https://open.spotify.com/embed/track/22kkmbKXuN3oHGQ4Wf4kRf
Puzhuthikkara Puthu,Various,sad,https://open.spotify.com/embed/track/6C6u94AZlturaUaFTmfgFp
Someone Like You (Instrumental),Adele,sad,https://open.spotify.com/embed/track/2bKJr03gJyvBwAy5gW3O09
Fix You (Cover),Coldplay,sad,https://open.spotify.com/embed/track/1WwGJ0G5scapUoyF2VnoqQ
Let Her Go (Reprise),Passenger,sad,https://open.spotify.com/embed/track/79r9lK0tRUYF3hPbtOUnvK
Someone You Loved (Orchestral),Lewis Capaldi,sad,https://open.spotify.com/embed/track/01X5edGGwxuuCd9cG4M9Wv
Skinny Love (Acoustic),Various,sad,https://open.spotify.com/embed/track/3B3eOgLJSqPEA0RfboIQVM
Say Something (Instrumental),A Great Big World,sad,https://open.spotify.com/embed/track/22ZWbQFkuNGKqn3RvNNU9q
Jar of Hearts (Cover),Various,sad,https://open.spotify.com/embed/track/0DI6PWDzvhORUTNreGTI2i
The Night We Met (Reprise),Lord Huron,sad,https://open.spotify.com/embed/track/3hRV0jL3vUpRrcy398teAU
Back to December (Orchestral),Taylor Swift,sad,https://open.spotify.com/embed/track/0FTmksd2dxiE5e3rWyJXs6
My Immortal (Acoustic),Evanescence,sad,https://open.spotify.com/embed/track/2McuypqkVXGHLeLXUWRGvj
When I Was Your Man (Instrumental),Bruno Mars,sad,https://open.spotify.com/embed/track/2Oej38AKkUraslaWEK1ATx
Too Good at Goodbyes (Cover),Sam Smith,sad,https://open.spotify.com/embed/track/1JhuXhMiTBavuRXQTsGOdV
Hallelujah (Reprise),Jeff Buckley,sad,https://open.spotify.com/embed/track/3wLl37RVHLUWxkblfpshim
Creep (acoustic) (Orchestral),Radiohead / Various covers,sad,https://open.spotify.com/embed/track/5NL8PNJ8Uv3Kygb4Vemdfr
Hurt (Acoustic),Johnny Cash,sad,https://open.spotify.com/embed/track/0mOhOmtz6471HRrZHLrQpg
I Will Always Love You (Instrumental),Whitney Houston,sad,https://open.spotify.com/embed/track/2AGRXcyV3vsCEMdvr8MVjO
All I Want (Cover),Kodaline,sad,https://open.spotify.com/embed/track/7xKXfPJSyOCrs3fekgQn6h
Happier (Reprise),Ed Sheeran,sad,https://open.spotify.com/embed/track/6eUc0YZUrhjyfBm4jI79nN
Skinny Love (Birdy) (Orchestral),Various,sad,https://open.spotify.com/embed/track/2mw2KXahFNdNuUEroOiSCi
The Scientist (Acoustic),Coldplay,sad,https://open.spotify.com/embed/track/44ZTZ2Co2FQjSmTdQIGLOB
Tum Hi Ho (Instrumental),Various,sad,https://open.spotify.com/embed/track/3pxjHjzaQceSk8tkDkDiSW
Channa Mereya (Cover),Arijit Singh,sad,https://open.spotify.com/embed/track/7nEOaxbF9pq7HaY9I0i3zl
Agar Tum Saath Ho (Reprise),Alka Yagnik & Arijit Singh,sad,https://open.spotify.com/embed/track/1hQia6rxgfM1ly2hE3StWp
Phir Bhi Tumko Chaahunga (Orchestral),Arijit Singh,sad,https://open.spotify.com/embed/track/0ZnBHVFiUAnVTF38LUVDpR
Tadap Tadap Ke (Acoustic),Various,sad,https://open.spotify.com/embed/track/1PORVV7bYcU2W6j01ZV9RO
Bhula Dena (Instrumental),Mustafa Zahid,sad,https://open.spotify.com/embed/track/3mQXsfwfplN1xPmhhEFWZ7
Hamdard (Cover),Arijit Singh,sad,https://open.spotify.com/embed/track/5ZGtdGwdocDZDniXHkmnVA
Khairiyat (Reprise),Arijit Singh,sad,https://open.spotify.com/embed/track/5O932cZmzOZGOGZz9RHx20
Kal Ho Naa Ho (Orchestral),Various,sad,https://open.spotify.com/embed/track/3hPeattoOvPe1dvpXF5Wxd
Tujhse Naraz Nahi Zindagi (Acoustic),Lata Mangeshkar,sad,https://open.spotify.com/embed/track/2sQnWZ4J84PE55tS0AdRRs
Ae Dil Hai Mushkil (Instrumental),Various,sad,https://open.spotify.com/embed/track/4S4S6ffOMkXhR8pji8P4bM
Tum Se Hi (Cover),Various,sad,https://open.spotify.com/embed/track/0u0ryJSKd2S3bHoWEMrL5S
Bolna (Reprise),Arijit Singh,sad,https://open.spotify.com/embed/track/4LMnefLl0gp4LvMBxPHq5D
Kaise Hua (Orchestral),Various,sad,https://open.spotify.com/embed/track/1y1rQTkWmrZdJmjwuK07GC
Tujhe Kitna Chahne Lage (Acoustic),Arijit Singh,sad,https://open.spotify.com/embed/track/4NpQW6VYN0Lho6eii6RCiC
Chithi Na Koi Sandesh (Instrumental),Jagjit Singh,sad,https://open.spotify.com/embed/track/3bAtgQ0d5EnsosYpjzeVL9
Ae Zindagi Gale Laga Le (Cover),Various,sad,https://open.spotify.com/embed/track/4TkknEEgy9mpbDtSA9ZrKV
Kun Faya Kun (slow) (Reprise),A.R. Rahman,sad,https://open.spotify.com/embed/track/0ZXVqNOgBctbexUuOCvB63
Aaj Phir Jeene Ki Tamanna Hai (soft) (Orchestral),Various,sad,https://open.spotify.com/embed/track/5Ggb9pKiKcr5vNV9v1e1vs
Pani Da Rang (acoustic) (Acoustic),Ayushmann Khurrana,sad,https://open.spotify.com/embed/track/20hnFTVSj6NsWMJJZV7AXf
Inkem Inkem Inkem Kaavaale (Instrumental),Various,sad,https://open.spotify.com/embed/track/1S4gynyFIz8IROMfhDIh3V
Samajavaragamana (Cover),Sid Sriram,sad,https://open.spotify.com/embed/track/3j9DrRebdWK1jkpOw9FZUy
Priyathama (Reprise),Yazin Nizar,sad,https://open.spotify.com/embed/track/1flfRpvHEitNI3V7Y6G4XR
Nuvvostanante Nenoddantana (Orchestral),Various,sad,https://open.spotify.com/embed/track/24wSWZLoKMRZvJVbxHkKMg
Yem Sandeham Ledu (Acoustic),S. P. Balasubrahmanyam,sad,https://open.spotify.com/embed/track/0hwdtn40BaV42IK5kB3Rd0
Hey Pillagada (Instrumental),Various,sad,https://open.spotify.com/embed/track/5lZFkANkX6RHfiXfgdFOHm
Arerey Manasa (Cover),K.S. Chithra,sad,https://open.spotify.com/embed/track/61fXT6uwJ2THPkbmxa65OI
Anaganaga Oka Roju (Reprise),Various,sad,https://open.spotify.com/embed/track/6J8B1TdG3gQAwYA6PtFghI
Em Sandeham Ledu (Orchestral),Various,sad,https://open.spotify.com/embed/track/0hwdtn40BaV42IK5kB3Rd0
Kalusukovalani (slow) (Acoustic),Devi Sri Prasad / Various,sad,https://open.spotify.com/embed/track/2KGx0u9TWWelJ5lux3cZQ6
